run,id,scope,schema,semantic,engine,joint,latency_ms,failed_assertions
qwen-baseline,core-01-3,core,false,false,true,false,4522,domain|visualization|state
qwen-baseline,core-02-1,core,false,false,true,false,4172,domain|visualization|progressValue|state
qwen-baseline,core-02-2,core,false,false,true,false,2181,domain|visualization|progressValue|state
qwen-baseline,core-02-3,core,false,false,true,false,2126,domain|visualization|progressValue|state|actionLabel
qwen-baseline,core-03-2,core,false,false,true,false,2081,domain|visualization
qwen-baseline,core-03-1,core,false,false,true,false,4257,domain
qwen-baseline,core-03-3,core,false,false,true,false,2003,domain|visualization|progressValue|actionLabel
qwen-baseline,core-04-1,core,true,false,true,false,2175,domain|visualization|state
qwen-baseline,core-04-2,core,true,false,true,false,2529,domain|visualization|state
qwen-baseline,core-04-3,core,false,false,true,false,2166,domain|visualization|state
qwen-baseline,core-05-1,core,false,false,true,false,2118,domain
qwen-baseline,core-05-2,core,false,false,true,false,2124,domain
qwen-baseline,core-05-3,core,false,false,true,false,2618,domain|actionLabel
qwen-baseline,core-06-1,core,false,false,true,false,2632,state
qwen-baseline,core-06-2,core,false,false,true,false,2322,state
qwen-baseline,core-06-3,core,false,false,true,false,2181,state|actionLabel
qwen-baseline,core-07-1,core,false,false,true,false,2271,value
qwen-baseline,core-07-2,core,false,false,true,false,2434,value
qwen-baseline,core-07-3,core,false,false,true,false,2319,value|actionLabel
qwen-baseline,core-08-2,core,false,false,true,false,2450,visualization|progressValue
qwen-baseline,core-08-1,core,false,false,true,false,4814,visualization|progressValue
qwen-baseline,core-09-1,core,false,true,true,false,2591,
qwen-baseline,core-08-3,core,false,false,true,false,4547,visualization|progressValue|actionLabel
qwen-baseline,core-09-3,core,false,false,true,false,2016,actionLabel
qwen-baseline,core-09-2,core,false,true,true,false,4632,
qwen-baseline,core-10-1,core,true,false,true,false,2427,state
qwen-baseline,core-10-2,core,false,false,true,false,2479,state
qwen-baseline,core-10-3,core,false,false,true,false,2757,state|actionLabel
qwen-baseline,core-11-1,core,false,true,true,false,2191,
qwen-baseline,core-11-2,core,false,true,true,false,2523,
qwen-baseline,core-11-3,core,false,false,true,false,2136,actionLabel
qwen-baseline,core-12-2,core,true,false,true,false,2133,state
qwen-baseline,core-12-1,core,true,false,true,false,4698,state
qwen-baseline,core-12-3,core,true,false,true,false,2238,state|actionLabel
qwen-baseline,core-13-2,core,true,false,true,false,2673,visualization|progressValue
qwen-baseline,core-13-1,core,true,false,true,false,3079,visualization|progressValue
qwen-baseline,core-14-1,core,false,true,true,false,2181,
qwen-baseline,core-13-3,core,true,false,true,false,2906,visualization|progressValue|actionLabel
qwen-baseline,core-14-3,core,false,false,true,false,2107,actionLabel
qwen-baseline,core-14-2,core,false,true,true,false,2708,
qwen-baseline,core-15-1,core,false,true,true,false,2545,
qwen-baseline,core-15-2,core,false,true,true,false,2548,
qwen-baseline,core-15-3,core,false,false,true,false,2307,actionLabel
qwen-baseline,core-16-2,core,true,true,true,true,2260,
qwen-baseline,core-16-1,core,true,true,true,true,4967,
qwen-baseline,core-16-3,core,false,true,true,false,3169,
qwen-baseline,core-17-1,core,true,true,true,true,3000,
qwen-baseline,core-17-2,core,true,true,true,true,2504,
qwen-baseline,core-17-3,core,true,false,true,false,2519,visualization|actionLabel
qwen-baseline,core-18-1,core,true,true,true,true,2090,
qwen-baseline,core-18-2,core,true,true,true,true,2190,
qwen-baseline,core-18-3,core,true,false,true,false,2090,actionLabel
qwen-baseline,core-19-1,core,true,true,true,true,2177,
qwen-baseline,core-19-2,core,false,true,true,false,2213,
qwen-baseline,core-19-3,core,false,true,true,false,2255,
qwen-baseline,core-20-1,core,true,true,true,true,2176,
qwen-baseline,core-20-2,core,true,true,true,true,2266,
qwen-baseline,core-20-3,core,true,false,true,false,2329,actionLabel
qwen-baseline,core-21-1,core,false,false,true,false,2264,visualization
qwen-baseline,core-21-2,core,false,false,true,false,2896,visualization
qwen-baseline,core-22-1,core,false,false,true,false,2136,domain
qwen-baseline,core-21-3,core,false,false,true,false,4827,visualization|progressValue
qwen-baseline,core-22-2,core,false,true,true,false,3031,
qwen-baseline,core-22-3,core,false,false,true,false,2806,actionLabel
qwen-baseline,core-23-2,core,false,true,true,false,3624,
qwen-baseline,core-23-1,core,false,false,true,false,4894,domain
qwen-baseline,core-23-3,core,false,false,true,false,2200,domain
qwen-baseline,core-24-1,core,true,false,true,false,2148,visualization|progressValue
